S.No,DISTRICT,Rainfall(mm)_2019,Recharge worthy area_2019,Annual Groundwater Recharge_2019,Domestic_2019,Industrial_2019,Irrigation_2019,Total Use_2019,Stage of Groundwater Extraction %_2019,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham)_2019,Net Annual Ground Water Availability for Future Use (ham)_2019,Total Ground Water Availability in the area (ham)_2019,Rainfall_2021,Recharge worthy area_2021,Rainfall Recharge_2021,Annual Groundwater Recharge (ham)_2021,Annual Extractable Ground water Resource (ham)_2021,Domestic_2021,Industrial_2021,Irrigation_2021,Total Use_2021,Stage of Ground Water Extraction (%)_2021,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham)_2021,Net Annual Ground Water Availability for Future Use (ham)_2021,Total Ground Water Availability in the area (ham)_2021,Rainfall_2022,Recharge worthy area_2022,Annual Ground water Recharge (ham)_2022,Domestic_2022,Industrial_2022,Irrigation_2022,Total Use_2022,Stage of Groundwater Extraction %_2022,Allocation of Ground Water Resources_2022,Net Annual Ground Water Availability for Future Use (ham)_2022,Total Ground Water Availability in the area (ham)_2022,Rainfall_2023,Recharge worthy area_2023,Annual Ground water Recharge (ham)_2023,Domestic_2023,Industrial_2023,Irrigation_2023,Total Use_2023,Stage of Groundwater Extraction %_2023,Allocation of Ground Water Resources_2023,Net Annual Ground Water Availability for Future Use (ham)_2023,Hilly Area,Total_Area,Permeability,Latitude,Longitude
16,Haveri,815.3308388,481219.9932,75183.37258,2947.804226,0,34441.90822,37389.70169,54.46015681,3169.494571,31809.2645,68655.14879,823.7200912,473754,24487.08,53797.77,48417.98,1908.905351,73.015695,31582.72,33564.62,69.32263593,2184.68,16345.35,48417.98,773.3748324,473754.0,65803.81,1947.170255,73.015695,34099.16,36119.33,60.98825431,2184.68,25278.79,59223.42,773.3748324,473754.0,65803.81,1947.170255,73.015695,34099.16,36119.33,60.98825431,2184.68,25278.79,8010.0,481764.0,Moderate,14.7936,75.3993
17,Kalburgi,807.9556344,1025486.187,55743.24579,4376.941955,0,17963.83242,22340.77287,44.53108056,4803.354494,28605.97892,50168.94399,837.5752589,1096267,56795.27,69992.08,63667.13,7031.388762,45.0,19401.88658,26478.31,41.58866593,7653.22,37036.51,63667.13,825.1293119,1096267.0,71989.87,7142.527539,47.7,19615.06562,26805.32,41.05823445,7653.22,38440.21,65286.1,825.1293119,1096267.0,71989.87,7142.527539,47.7,19615.06562,26805.32,41.05823445,7653.22,38440.21,1262.0,1097529.0,Low,17.3297,76.8343
18,Kodagu,2186.712362,363444.4256,39759.15388,1734.496165,0,9372.643423,11107.16293,30.81423688,2392.379679,24280.51018,36045.55573,2215.326755,202583,23283.59,30199.7,27179.71,915.5295222,233.1474507,8668.35,9817.03,36.11896521,956.23,17321.98,27179.71,2250.915889,202583.0,24677.85,922.5801231,94.88467,7953.69,8971.17,40.39237175,956.23,13205.24,22210.06,2250.915889,202583.0,24677.85,922.5801231,94.88467,7953.69,8971.17,40.39237175,956.23,13205.24,208756.0,411339.0,Rapid,12.3375,75.8069
19,Kolara,777.1159163,298853.4583,44401.76654,4537.677975,0,75370.21425,79907.88227,199.9617708,4951.099994,0.0,39961.57963,822.021437,382763,21358.77,42953.37,38658.02,4051.167339,64.61,66184.83,70300.6,181.8525625,4297.6,0.0,38658.02,822.0379211,382763.0,45482.41,4097.326188,150.38,66486.47,70734.18,172.7998394,4297.6,0.0,40934.17,822.0379211,382763.0,45482.41,4097.326188,150.38,66486.47,70734.18,172.7998394,4297.6,0.0,16230.0,398993.0,Moderate to Rapid,13.1357,78.1334
20,Koppal,610.0952258,502976.4849,70331.57669,2255.498083,0,33990.04513,36245.55765,57.18132384,2494.41922,28369.59746,63387.0558,627.5215193,539866,19548.3,72065.4,65099.83,2713.891581,50.7616,32420.93425,35185.58,54.04865113,2926.84,29862.15,65099.83,627.3704304,539866.0,65176.75,2753.437725,50.7616,33746.08877,36550.27,61.84087504,2926.84,26269.15,59103.74,627.3704304,539866.0,65176.75,2753.437725,50.7616,33746.08877,36550.27,61.84087504,2926.84,26269.15,17738.0,557604.0,Low,15.345,76.1548
21,Mandya,750.3779854,424026.351,93744.75281,3744.988634,0,44055.10394,47800.11251,56.6551624,4217.589306,37439.50792,84370.26828,777.3878449,481743,23494.31,71194.93,64599.53,3906.959562,66.8475,36219.98905,40193.83,62.22000377,4003.43,27007.4,64599.53,731.4522363,481743.0,73397.56,3928.948038,66.8475,36219.98905,40215.79,60.75318572,4003.43,28841.48,66195.36,731.4522363,481743.0,73397.56,3928.948038,66.8475,36219.98905,40215.79,60.75318572,4003.43,28841.48,13828.0,495571.0,Moderate,12.5246,76.8951
22,Mysuru,958.1885522,531616.0186,80153.28271,6700.798564,0,27001.55534,33702.35848,46.45685795,9683.361704,38007.45757,72545.49698,800.1877511,611645,31628.95,59979.58,54293.59,3934.15104,37.374175,28649.29086,32620.84,60.08230438,4230.42,21376.48,54293.59,800.1877511,611645.0,62379.15,4238.656155,85.97918,26852.60122,31177.25,55.29593026,4514.11,25386.68,56382.54,800.1877511,611645.0,62379.15,4238.656155,85.97918,26852.60122,31177.25,55.29593026,4514.11,25386.68,19411.0,631056.0,Moderate,12.2958,76.6394
23,Raichur,637.7011757,584931.0178,68603.42757,3727.497574,0,26105.34513,29832.85131,48.1114106,4519.870916,31528.95563,62007.84998,517.8772683,838667,32240.36,73207.1,66043.99,3075.738054,64.08,27550.24164,30690.07,46.46913368,3478.95,37277.8,66043.99,564.1549018,838667.0,77308.6,3240.049155,172.84,27814.45247,31227.31,44.72734096,3589.07,40007.85,69817.05,564.1549018,838667.0,77308.6,3240.049155,172.84,27814.45247,31227.31,44.72734096,3589.07,40007.85,8325.0,846992.0,Low,16.2076,77.3556
24,Ramanagara,864.2578761,316405.7879,41727.20736,2000.572707,0,31960.88127,33961.44975,90.4324759,2758.198085,3863.305378,37554.48406,1113.224667,273998,22085.93,44355.0,39919.51,3080.525504,541.08,34752.42945,38374.02,96.12848454,3348.15,3638.54,39919.51,886.2751746,273998.0,45260.86,3092.606748,722.88,35196.42397,39011.9,95.77049391,3295.89,4224.53,40734.78,886.2751746,273998.0,45260.86,3092.606748,722.88,35196.42397,39011.9,95.77049391,3295.89,4224.53,78812.0,352810.0,Moderate to Rapid,12.7167,77.2806
25,Shivamogga,1960.701157,739172.3831,113823.7782,3828.079704,0,30289.07886,34117.14985,33.28987149,3979.107421,68678.93895,102485.0753,1916.373814,674731,66892.84,99809.92,90599.76,2660.7745,257.25,35933.71986,38851.74,42.88282883,2749.97,51658.81,90599.76,1916.373898,674731.0,106495.99,2678.673589,253.83,36300.20411,39232.7,40.62424702,2749.97,59085.89,96574.59,1916.373898,674731.0,106495.99,2678.673589,253.83,36300.20411,39232.7,40.62424702,2749.97,59085.89,172586.0,847317.0,Moderate,13.9299,75.5681
26,Tumakuru,726.9344567,941413.422,84634.19923,5531.746907,0,63615.69718,69147.44431,90.44509706,6012.405139,18160.06001,76452.3966,745.3500172,991597,52327.24,80096.42,72426.91,6111.276687,59.08801003,62344.16753,68514.54,94.59818181,6472.48,14643.79,72426.91,733.3663318,991597.0,83017.42,5722.89048,71.02800003,62774.52387,68568.46,91.77251683,5984.2,14452.0,74715.68,733.3663318,991597.0,83017.42,5722.89048,71.02800003,62774.52387,68568.46,91.77251683,5984.2,14452.0,68728.0,1060325.0,Moderate,13.3409,77.101
27,Udupi,3993.148225,303666.5166,67138.41375,3758.475808,0,10634.16824,14392.63883,23.81917969,3955.314917,45835.09766,60424.57809,4419.64307,286998,44022.0,49695.47,44725.92,2081.47455,35.921,13556.32,15673.71,35.04390743,2144.62,28989.06,44725.92,4419.64307,286998.0,52375.49,2095.89789,35.921,13778.54,15910.35,33.75276211,2144.62,31178.85,47137.92,4419.64307,286998.0,52375.49,2095.89789,35.921,13778.54,15910.35,33.75276211,2144.62,31178.85,70074.0,357072.0,Rapid,13.3409,74.7421
28,Uttara Kannada,2512.468317,770785.495,101933.5906,3398.442539,0,19035.51454,22433.92802,24.4270008,3602.849847,69202.36229,91840.69794,2600.682383,658548,81995.96,90448.16,81710.58,3106.638516,31.90829825,23568.75786,26707.26,32.68519205,3194.97,54914.98,81710.58,2600.682383,658548.0,92912.18,3126.832068,0.0,23813.64875,26940.47,32.10959837,3194.97,56892.99,83901.61,2600.682383,658548.0,92912.18,3126.832068,0.0,23813.64875,26940.47,32.10959837,3194.97,56892.99,371143.0,1029691.0,Rapid,14.818,74.131
29,Vijayanagara,689.316859,539753.0,37559.07,2180.170404,0,28373.25822,30575.74,90.037407,2326.63,7193.59,33958.93,689.3168592,539753,23896.79,37559.07,33958.93,2180.170404,22.30799962,28373.25822,30575.74,90.03740695,2326.63,7193.59,33958.93,689.3168592,539753.0,40916.0,2209.382595,30.96387458,28622.79795,30863.1,83.48856246,2326.63,8017.79,36966.86,689.3168592,539753.0,40916.0,2209.382595,30.96387458,28622.79795,30863.1,83.48856246,2326.63,8017.79,27012.0,566765.0,Low to Moderate,15.6354,76.153
30,Vijayapura,643.6383621,982424.2829,49999.4564,3733.509771,0,25993.66646,29727.16961,65.51870422,4053.223876,16926.20746,45372.0353,580.3478174,1050304,39044.85,67218.49,60703.25,4952.395701,15.5125,33213.72,38181.59,62.89875748,5237.48,26976.98,60703.25,612.6782934,1048841.162,105997.17,5012.497404,18.25,33608.46,38639.19,40.50337823,5237.46,57666.78,95397.45,612.6782934,1048841.162,105997.17,5012.497404,18.25,33608.46,38639.19,40.50337823,5237.46,57666.78,1462.87,1050304.036,Low,16.8302,75.71
31,Yadgir,829.1983301,405081.8971,44974.78181,2110.652865,0,12661.68224,14772.34281,36.49537701,2275.612235,25540.11631,40477.29881,910.3098226,515282,10980.66,47817.45,43035.73,2127.371256,799.32,15570.05,18496.74,42.97996107,2318.99,24347.37,43035.73,779.6346279,515282.0,56587.8,2857.956899,882.11,15705.35,19445.4,37.98588505,3037.63,32559.1,51191.12,779.6346279,515282.0,56587.8,2857.956899,882.11,15705.35,19445.4,37.98588505,3037.63,32559.1,12217.0,527499.0,Low,16.7701,77.1376
